"","INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location"
"21","I182070910",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B3",434,"","2018-09-03 18:42:00",2018,9,"Monday",18,"Part Three","CAPEN ST",42.28340243,-71.0807974,"(42.28340243, -71.08079740)"
"22","I182070901",2907,"Violations","VAL - OPERATING AFTER REV/SUSP.","B3",428,"","2018-09-03 18:41:00",2018,9,"Monday",18,"Part Two","CLARKWOOD ST",42.28013735,-71.09079826,"(42.28013735, -71.09079826)"
"23","I182070908",522,"Residential Burglary","BURGLARY - RESIDENTIAL - NO FORCE","B2",911,"","2018-09-03 18:38:00",2018,9,"Monday",18,"Part One","ANNUNCIATION RD",42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
"24","I182070897",2662,"Ballistics","BALLISTICS EVIDENCE/FOUND","B2",330,"","2018-09-03 18:37:00",2018,9,"Monday",18,"Part Two","COLUMBIA RD",42.30524752,-71.08089418,"(42.30524752, -71.08089418)"
"25","I182070904",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","C11",242,"","2018-09-03 18:34:00",2018,9,"Monday",18,"Part Two","ANNAPOLIS ST",42.31731905,-71.06150882,"(42.31731905, -71.06150882)"
"26","I182070904",2007,"Restraining Order Violations","VIOL. OF RESTRAINING ORDER W NO ARREST","C11",242,"","2018-09-03 18:34:00",2018,9,"Monday",18,"Part Two","ANNAPOLIS ST",42.31731905,-71.06150882,"(42.31731905, -71.06150882)"
"27","I182070909",3803,"Motor Vehicle Accident Response","M/V ACCIDENT - PERSONAL INJURY","E5",550,"","2018-09-03 18:33:00",2018,9,"Monday",18,"Part Three","WASHINGTON ST",42.27581799,-71.13991259,"(42.27581799, -71.13991259)"
"28","I182070911",3801,"Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","A1",69,"","2018-09-03 18:30:00",2018,9,"Monday",18,"Part Three","BEACON ST",42.35564426,-71.07168077,"(42.35564426, -71.07168077)"
"29","I182070906",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","",NA,"","2018-09-03 18:20:00",2018,9,"Monday",18,"Part Three","",42.28359328,-71.05565683,"(42.28359328, -71.05565683)"
"30","I182070900",2629,"Harassment","HARASSMENT","B3",464,"","2018-09-03 18:17:00",2018,9,"Monday",18,"Part Two","HANSBOROUGH ST",42.28810362,-71.09153335,"(42.28810362, -71.09153335)"
"31","I182070890",2612,"Fire Related Reports","FIRE REPORT/ALARM - FALSE","B3",432,"","2018-09-03 18:17:00",2018,9,"Monday",18,"Part Two","CALLENDER ST",42.28848287,-71.08259001,"(42.28848287, -71.08259001)"
"32","I182070889",1843,"Drug Violation","DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP","",NA,"","2018-09-03 18:05:00",2018,9,"Monday",18,"Part Two","",42.30676881,-71.08431925,"(42.30676881, -71.08431925)"
"33","I182070889",3125,"Warrant Arrests","WARRANT ARREST","",NA,"","2018-09-03 18:05:00",2018,9,"Monday",18,"Part Three","",42.30676881,-71.08431925,"(42.30676881, -71.08431925)"
"34","I182070889",1841,"Drug Violation","DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP","",NA,"","2018-09-03 18:05:00",2018,9,"Monday",18,"Part Two","",42.30676881,-71.08431925,"(42.30676881, -71.08431925)"
"35","I182070892",613,"Larceny","LARCENY SHOPLIFTING","B2",276,"","2018-09-03 17:54:00",2018,9,"Monday",17,"Part One","SHAWMUT AVE",42.33318299,-71.08307607,"(42.33318299, -71.08307607)"
"36","I182070885",619,"Larceny","LARCENY ALL OTHERS","B3",456,"","2018-09-03 17:17:00",2018,9,"Monday",17,"Part One","ELLINGTON ST",42.30154555,-71.08118184,"(42.30154555, -71.08118184)"
"37","I182070880",3018,"Medical Assistance","SICK/INJURED/MEDICAL - POLICE","A1",116,"","2018-09-03 17:09:00",2018,9,"Monday",17,"Part Three","BEACH ST",42.351084,-71.059395,"(42.35108400, -71.05939500)"
"38","I182070871",3501,"Missing Person Reported","MISSING PERSON","B2",265,"","2018-09-03 17:03:00",2018,9,"Monday",17,"Part Three","PERRIN ST",42.3218854,-71.07906279,"(42.32188540, -71.07906279)"
"39","I182070918",3305,"Assembly or Gathering Violations","DEMONSTRATIONS/RIOT","D4",130,"","2018-09-03 17:00:00",2018,9,"Monday",17,"Part Three","HUNTINGTON AVE",42.34857652,-71.07772012,"(42.34857652, -71.07772012)"
"40","I182070875",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","A1",116,"","2018-09-03 16:55:00",2018,9,"Monday",16,"Part Two","BEACH ST",42.351084,-71.059395,"(42.35108400, -71.05939500)"
"41","I182070875",2405,"Disorderly Conduct","DISORDERLY CONDUCT","A1",116,"","2018-09-03 16:55:00",2018,9,"Monday",16,"Part Two","BEACH ST",42.351084,-71.059395,"(42.35108400, -71.05939500)"
"42","I182070895",3207,"Property Found","PROPERTY - FOUND","A7",30,"","2018-09-03 16:43:00",2018,9,"Monday",16,"Part Three","COTTAGE ST",42.36742605,-71.03547266,"(42.36742605, -71.03547266)"
"43","I182070876",3803,"Motor Vehicle Accident Response","M/V ACCIDENT - PERSONAL INJURY","C11",244,"","2018-09-03 16:21:00",2018,9,"Monday",16,"Part Three","E COTTAGE ST",42.31866067,-71.05881776,"(42.31866067, -71.05881776)"
"44","I182070866",3807,"Motor Vehicle Accident Response","M/V ACCIDENT - OTHER CITY VEHICLE","",NA,"","2018-09-03 16:09:10",2018,9,"Monday",16,"Part Three","",42.28768807,-71.09386923,"(42.28768807, -71.09386923)"
"45","I182070879",3301,"Verbal Disputes","VERBAL DISPUTE","B3",441,"","2018-09-03 16:04:00",2018,9,"Monday",16,"Part Three","NIGHTINGALE ST",42.29540175,-71.08237834,"(42.29540175, -71.08237834)"
"46","I182070874",617,"Larceny","LARCENY THEFT FROM BUILDING","A1",102,"","2018-09-03 16:00:00",2018,9,"Monday",16,"Part One","WINTER ST",42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
"47","I182070861",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","E13",642,"","2018-09-03 16:00:00",2018,9,"Monday",16,"Part Three","CENTRE ST",42.31322316,-71.11409925,"(42.31322316, -71.11409925)"
"48","I182070860",3114,"Investigate Property","INVESTIGATE PROPERTY","C11",403,"","2018-09-03 15:58:00",2018,9,"Monday",15,"Part Three","CROFTLAND AVE",42.28107109,-71.06925083,"(42.28107109, -71.06925083)"
"49","I182070865",301,"Robbery","ROBBERY - STREET","",NA,"","2018-09-03 15:54:00",2018,9,"Monday",15,"Part One","",42.31580852,-71.09829029,"(42.31580852, -71.09829029)"
"50","I182070870",3115,"Investigate Person","INVESTIGATE PERSON","E18",493,"","2018-09-03 15:51:00",2018,9,"Monday",15,"Part Three","LEXINGTON AVE",42.26255067,-71.11582205,"(42.26255067, -71.11582205)"
"51","I182070859",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2",305,"","2018-09-03 15:46:00",2018,9,"Monday",15,"Part Three","KENSINGTON ST",42.3206268,-71.09108856,"(42.32062680, -71.09108856)"
"52","I182070888",301,"Robbery","ROBBERY - STREET","A1",76,"","2018-09-03 15:45:00",2018,9,"Monday",15,"Part One","",NA,NA,"(0.00000000, 0.00000000)"
"53","I182070873",3625,"Other","DANGEROUS OR HAZARDOUS CONDITION","B2",327,"","2018-09-03 15:38:00",2018,9,"Monday",15,"Part Three","WAYLAND ST",42.31368925,-71.0742708,"(42.31368925, -71.07427080)"
"54","I182070873",3106,"Property Related Damage","PROPERTY - ACCIDENTAL DAMAGE","B2",327,"","2018-09-03 15:38:00",2018,9,"Monday",15,"Part Three","WAYLAND ST",42.31368925,-71.0742708,"(42.31368925, -71.07427080)"
"55","I182070886",3802,"Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","C11",402,"","2018-09-03 15:34:00",2018,9,"Monday",15,"Part Three","WASHINGTON ST",42.28492596,-71.07135254,"(42.28492596, -71.07135254)"
"56","I182070862",3801,"Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","B2",603,"","2018-09-03 15:29:00",2018,9,"Monday",15,"Part Three","TREMONT ST",42.33380683,-71.10377843,"(42.33380683, -71.10377843)"
"57","I182070854",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","C11",257,"","2018-09-03 15:27:00",2018,9,"Monday",15,"Part Two","EVERETT AVE",42.31526714,-71.0630687,"(42.31526714, -71.06306870)"
"58","I182070855",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2",288,"","2018-09-03 15:14:00",2018,9,"Monday",15,"Part Three","ROXBURY ST",42.3296087,-71.08462109,"(42.32960870, -71.08462109)"
"59","I182070844",724,"Auto Theft","AUTO THEFT","D4",154,"","2018-09-03 15:01:00",2018,9,"Monday",15,"Part One","TREMONT ST",42.3411289,-71.07692951,"(42.34112890, -71.07692951)"
"60","I182070882",3801,"Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","B2",901,"","2018-09-03 15:00:00",2018,9,"Monday",15,"Part Three","WARD ST",42.33511145,-71.09592156,"(42.33511145, -71.09592156)"
"61","I182070881",1402,"Vandalism","VANDALISM","C11",356,"","2018-09-03 15:00:00",2018,9,"Monday",15,"Part Two","GENEVA AVE",42.29848866,-71.06313294,"(42.29848866, -71.06313294)"
"62","I182070877",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","E5",562,"","2018-09-03 15:00:00",2018,9,"Monday",15,"Part Three","WASHINGTON ST",42.28788933,-71.12658585,"(42.28788933, -71.12658585)"
"63","I182070850",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","E18",498,"","2018-09-03 14:48:00",2018,9,"Monday",14,"Part Three","CLARE AVE",42.27360053,-71.11897042,"(42.27360053, -71.11897042)"
"64","I182070840",2647,"Other","THREATS TO DO BODILY HARM","A1",63,"","2018-09-03 14:46:00",2018,9,"Monday",14,"Part Two","MARTHA RD",42.36580175,-71.06538257,"(42.36580175, -71.06538257)"
"65","I182070851",3115,"Investigate Person","INVESTIGATE PERSON","E18",957,"","2018-09-03 14:39:00",2018,9,"Monday",14,"Part Three","CLIFFMONT ST",42.27668221,-71.12065268,"(42.27668221, -71.12065268)"
"66","I182070856",613,"Larceny","LARCENY SHOPLIFTING","D4",138,"","2018-09-03 14:31:00",2018,9,"Monday",14,"Part One","NEWBURY ST",42.35059717,-71.07881031,"(42.35059717, -71.07881031)"
"67","I182070835",3201,"Property Lost","PROPERTY - LOST","A1",77,"","2018-09-03 14:29:00",2018,9,"Monday",14,"Part Three","NEW SUDBURY ST",42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
"68","I182070843",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","A1",84,"","2018-09-03 14:23:00",2018,9,"Monday",14,"Part Three","HANOVER ST",42.36339154,-71.05488123,"(42.36339154, -71.05488123)"
"69","I182070839",3820,"Motor Vehicle Accident Response","M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY","",NA,"","2018-09-03 14:21:00",2018,9,"Monday",14,"Part Three","",42.34320836,-71.0785066,"(42.34320836, -71.07850660)"
"70","I182070831",1102,"Fraud","FRAUD - FALSE PRETENSE / SCHEME","D4",619,"","2018-09-03 14:17:00",2018,9,"Monday",14,"Part Two","SAINT STEPHEN ST",42.34272627,-71.08646352,"(42.34272627, -71.08646352)"
"71","I182070826",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C11",462,"","2018-09-03 14:11:00",2018,9,"Monday",14,"Part Three","ROSSETER ST",42.30376511,-71.07484027,"(42.30376511, -71.07484027)"
"72","I182070846",613,"Larceny","LARCENY SHOPLIFTING","C11",381,"","2018-09-03 14:07:00",2018,9,"Monday",14,"Part One","GALLIVAN BLVD",42.28512354,-71.04405667,"(42.28512354, -71.04405667)"
"73","I182070833",2905,"Violations","VAL - OPERATING WITHOUT LICENSE","D14",780,"","2018-09-03 14:06:00",2018,9,"Monday",14,"Part Two","FANEUIL ST",42.35479369,-71.14995785,"(42.35479369, -71.14995785)"
"74","I182070833",3802,"Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","D14",780,"","2018-09-03 14:06:00",2018,9,"Monday",14,"Part Three","FANEUIL ST",42.35479369,-71.14995785,"(42.35479369, -71.14995785)"
"75","I182070836",3803,"Motor Vehicle Accident Response","M/V ACCIDENT - PERSONAL INJURY","",NA,"","2018-09-03 14:02:00",2018,9,"Monday",14,"Part Three","",42.33892088,-71.10725211,"(42.33892088, -71.10725211)"
"76","I182070858",2629,"Harassment","HARASSMENT","E18",547,"","2018-09-03 14:00:00",2018,9,"Monday",14,"Part Two","DEFOREST ST",42.2675628,-71.1297447,"(42.26756280, -71.12974470)"
"77","I182070838",613,"Larceny","LARCENY SHOPLIFTING","D4",146,"","2018-09-03 14:00:00",2018,9,"Monday",14,"Part One","HUNTINGTON AVE",42.3479724,-71.07849582,"(42.34797240, -71.07849582)"
"78","I182070823",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","B2",330,"","2018-09-03 14:00:00",2018,9,"Monday",14,"Part One","BLUE HILL AVE",42.3078214,-71.08354076,"(42.30782140, -71.08354076)"
"79","I182070837",3115,"Investigate Person","INVESTIGATE PERSON","B3",449,"","2018-09-03 13:56:00",2018,9,"Monday",13,"Part Three","WHITFIELD ST",42.2922213,-71.07467073,"(42.29222130, -71.07467073)"
"80","I182070837",3301,"Verbal Disputes","VERBAL DISPUTE","B3",449,"","2018-09-03 13:56:00",2018,9,"Monday",13,"Part Three","WHITFIELD ST",42.2922213,-71.07467073,"(42.29222130, -71.07467073)"
"81","I182070829",1810,"Drug Violation","DRUGS - SALE / MANUFACTURING","B2",325,"","2018-09-03 13:45:00",2018,9,"Monday",13,"Part Two","WOODCLIFF ST",42.31580934,-71.07618683,"(42.31580934, -71.07618683)"
"82","I182070829",1842,"Drug Violation","DRUGS - POSS CLASS A - HEROIN, ETC. ","B2",325,"","2018-09-03 13:45:00",2018,9,"Monday",13,"Part Two","WOODCLIFF ST",42.31580934,-71.07618683,"(42.31580934, -71.07618683)"
"83","I182070822",1402,"Vandalism","VANDALISM","C6",231,"","2018-09-03 13:44:00",2018,9,"Monday",13,"Part Two","E SEVENTH ST",42.33238533,-71.03016099,"(42.33238533, -71.03016099)"
"84","I182070842",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","D14",776,"","2018-09-03 13:32:00",2018,9,"Monday",13,"Part Three","PRISCILLA RD",42.34488259,-71.15216614,"(42.34488259, -71.15216614)"
"85","I182070824",3114,"Investigate Property","INVESTIGATE PROPERTY","B2",237,"","2018-09-03 13:31:00",2018,9,"Monday",13,"Part Three","CAWFIELD ST",42.31993148,-71.06368978,"(42.31993148, -71.06368978)"
"86","I182070827",3801,"Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","A1",79,"","2018-09-03 13:28:00",2018,9,"Monday",13,"Part Three","ENDICOTT ST",42.36588028,-71.05740251,"(42.36588028, -71.05740251)"
"87","I182070830",2647,"Other","THREATS TO DO BODILY HARM","B2",294,"","2018-09-03 13:25:00",2018,9,"Monday",13,"Part Two","AKRON ST",42.32579408,-71.08563758,"(42.32579408, -71.08563758)"
"88","I182070832",3410,"Towed","TOWED MOTOR VEHICLE","C6",229,"","2018-09-03 13:18:00",2018,9,"Monday",13,"Part Three","E SIXTH ST",42.33298734,-71.04282382,"(42.33298734, -71.04282382)"
"89","I182070820",1806,"Drug Violation","DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS","",NA,"","2018-09-03 13:18:00",2018,9,"Monday",13,"Part Two","",42.31224532,-71.07317861,"(42.31224532, -71.07317861)"
"90","I182070819",1848,"Drug Violation","DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP","A1",111,"","2018-09-03 13:14:00",2018,9,"Monday",13,"Part Two","TEMPLE PL",42.35521429,-71.06206351,"(42.35521429, -71.06206351)"
"91","I182070847",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","B3",469,"","2018-09-03 13:07:00",2018,9,"Monday",13,"Part Two","TENNIS RD",42.27615691,-71.09550303,"(42.27615691, -71.09550303)"
"92","I182070818",1844,"Drug Violation","DRUGS - POSS CLASS C","A1",119,"","2018-09-03 12:46:00",2018,9,"Monday",12,"Part Two","BEACON ST",42.35678442,-71.06670845,"(42.35678442, -71.06670845)"
"93","I182070816",3301,"Verbal Disputes","VERBAL DISPUTE","C6",185,"","2018-09-03 12:45:00",2018,9,"Monday",12,"Part Three","MASSACHUSETTS AVE",42.32198656,-71.06280666,"(42.32198656, -71.06280666)"
"94","I182070816",619,"Larceny","LARCENY ALL OTHERS","C6",185,"","2018-09-03 12:45:00",2018,9,"Monday",12,"Part One","MASSACHUSETTS AVE",42.32198656,-71.06280666,"(42.32198656, -71.06280666)"
"95","I182070815",423,"Aggravated Assault","ASSAULT - AGGRAVATED","E13",582,"","2018-09-03 12:40:00",2018,9,"Monday",12,"Part One","CENTRE ST",42.32259354,-71.10619643,"(42.32259354, -71.10619643)"
"96","I182070809",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","B2",605,"","2018-09-03 12:37:00",2018,9,"Monday",12,"Part Three","FISHER AVE",42.33061023,-71.10853621,"(42.33061023, -71.10853621)"
"97","I182070806",413,"Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","C11",361,"","2018-09-03 12:23:00",2018,9,"Monday",12,"Part One","DORCHESTER AVE",42.29328831,-71.06219497,"(42.29328831, -71.06219497)"
"98","I182070806",1501,"Firearm Violations","WEAPON - FIREARM - CARRYING / POSSESSING, ETC","C11",361,"","2018-09-03 12:23:00",2018,9,"Monday",12,"Part Two","DORCHESTER AVE",42.29328831,-71.06219497,"(42.29328831, -71.06219497)"
"99","I182070807",2647,"Other","THREATS TO DO BODILY HARM","E5",748,"","2018-09-03 12:01:00",2018,9,"Monday",12,"Part Two","KEANE RD",42.29476186,-71.1623927,"(42.29476186, -71.16239270)"
"100","I182070812",3115,"Investigate Person","INVESTIGATE PERSON","E18",525,"","2018-09-03 12:00:00",2018,9,"Monday",12,"Part Three","WOLCOTT ST",42.23797683,-71.13000944,"(42.23797683, -71.13000944)"
"101","I182070799",3410,"Towed","TOWED MOTOR VEHICLE","",NA,"","2018-09-03 11:55:00",2018,9,"Monday",11,"Part Three","CHELSEA",-1,-1,"(-1.00000000, -1.00000000)"
"102","I182070811",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","A7",12,"","2018-09-03 11:49:00",2018,9,"Monday",11,"Part Three","BENNINGTON ST",42.38512136,-71.01150101,"(42.38512136, -71.01150101)"
"103","I182070802",3001,"Medical Assistance","DEATH INVESTIGATION","A15",56,"","2018-09-03 11:49:00",2018,9,"Monday",11,"Part Three","HIGH ST",42.37604137,-71.06211228,"(42.37604137, -71.06211228)"
"104","I182070798",2629,"Harassment","HARASSMENT","C11",450,"","2018-09-03 11:36:00",2018,9,"Monday",11,"Part Two","WASHINGTON ST",42.29131613,-71.07170293,"(42.29131613, -71.07170293)"
"105","I182070849",1849,"Drug Violation","DRUGS - POSS CLASS B - COCAINE, ETC.","C6",177,"","2018-09-03 11:30:00",2018,9,"Monday",11,"Part Two","MASSACHUSETTS AVE",42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
"106","I182070797",3301,"Verbal Disputes","VERBAL DISPUTE","C11",341,"","2018-09-03 11:30:00",2018,9,"Monday",11,"Part Three","SPEEDWELL ST",42.30406722,-71.06760042,"(42.30406722, -71.06760042)"
"107","I182070792",613,"Larceny","LARCENY SHOPLIFTING","D4",129,"","2018-09-03 11:18:00",2018,9,"Monday",11,"Part One","BOYLSTON ST",42.35095909,-71.0741278,"(42.35095909, -71.07412780)"
"108","I182070800",2900,"Other","VAL - VIOLATION OF AUTO LAW - OTHER","B2",325,"","2018-09-03 11:14:00",2018,9,"Monday",11,"Part Two","BEAUFORD LN",42.31620533,-71.07609249,"(42.31620533, -71.07609249)"
"109","I182070791",2900,"Other","VAL - VIOLATION OF AUTO LAW - OTHER","B2",325,"","2018-09-03 11:14:00",2018,9,"Monday",11,"Part Two","BEAUFORD LN",42.31620533,-71.07609249,"(42.31620533, -71.07609249)"
"110","I182070786",3830,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PERSONAL INJURY","A1",95,"","2018-09-03 11:08:00",2018,9,"Monday",11,"Part Three","ATLANTIC AVE",42.357875,-71.051329,"(42.35787500, -71.05132900)"
"111","I182070796",3115,"Investigate Person","INVESTIGATE PERSON","A1",61,"","2018-09-03 11:07:00",2018,9,"Monday",11,"Part Three","BEVERLY ST",42.36658726,-71.06019881,"(42.36658726, -71.06019881)"
"112","I182070804",522,"Residential Burglary","BURGLARY - RESIDENTIAL - NO FORCE","D14",756,"","2018-09-03 11:00:00",2018,9,"Monday",11,"Part One","CHAMPNEY ST",42.3524123,-71.16878833,"(42.35241230, -71.16878833)"
"113","I182070794",3301,"Verbal Disputes","VERBAL DISPUTE","C11",332,"","2018-09-03 11:00:00",2018,9,"Monday",11,"Part Three","COLUMBIA RD",42.31363409,-71.06778025,"(42.31363409, -71.06778025)"
"114","I182070790",3801,"Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","A1",101,"","2018-09-03 10:52:00",2018,9,"Monday",10,"Part Three","MILK ST",42.35822966,-71.05362239,"(42.35822966, -71.05362239)"
"115","I182070783",3207,"Property Found","PROPERTY - FOUND","B2",289,"","2018-09-03 10:46:00",2018,9,"Monday",10,"Part Three","TREMONT ST",42.33402461,-71.09039049,"(42.33402461, -71.09039049)"
"116","I182070784",3301,"Verbal Disputes","VERBAL DISPUTE","B2",909,"","2018-09-03 10:42:00",2018,9,"Monday",10,"Part Three","WHITTIER ST",42.33380238,-71.08880867,"(42.33380238, -71.08880867)"
"117","I182070793",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","C11",344,"","2018-09-03 10:33:00",2018,9,"Monday",10,"Part Three","WESTVILLE TER",42.30098009,-71.06869928,"(42.30098009, -71.06869928)"
"118","I182070782",561,"Other Burglary","BURGLARY - OTHER - ATTEMPT","E18",495,"","2018-09-03 10:12:00",2018,9,"Monday",10,"Part One","GREENWOOD AVE",42.26597955,-71.1217959,"(42.26597955, -71.12179590)"
"119","I182070787",3410,"Towed","TOWED MOTOR VEHICLE","E18",499,"","2018-09-03 10:11:00",2018,9,"Monday",10,"Part Three","NAVARRE ST",42.27758926,-71.11755202,"(42.27758926, -71.11755202)"
