"","DR.Number","Date.Reported","Date.Occurred","Time.Occurred","Area.ID","Area.Name","Reporting.District","Crime.Code","Crime.Code.Description","MO.Codes","Victim.Age","Victim.Sex","Victim.Descent","Premise.Code","Premise.Description","Weapon.Used.Code","Weapon.Description","Status.Code","Status.Description","Crime.Code.1","Crime.Code.2","Crime.Code.3","Crime.Code.4","Address","Cross.Street","Location"
"11",160222696,"12/31/2016","12/31/2016",1100,2,"Rampart",246,510,"VEHICLE - STOLEN","",16,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"7TH                          ST","ALVARADO","(34.0565, -118.2768)"
"12",160222657,"12/31/2016","12/31/2016",310,2,"Rampart",201,753,"DISCHARGE FIREARMS/SHOTS FIRED","1100 1407 1300",NA,"X","X",101,"STREET",102,"HAND GUN","IC","Invest Cont",753,998,NA,NA,"800 N  KENMORE                      AV","","(34.0858, -118.297)"
"13",160222665,"12/31/2016","12/31/2016",5,2,"Rampart",218,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1813 2002 0416 0444",38,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",626,NA,NA,NA,"1000 W  EDGEWARE                     RD","","(34.0715, -118.2539)"
"14",160222679,"12/31/2016","12/31/2016",15,2,"Rampart",237,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","1609 0329",55,"F","H",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",740,NA,NA,NA,"BEVERLY","LOMA","(34.0634, -118.263)"
"15",160222688,"12/31/2016","12/31/2016",1130,2,"Rampart",245,210,"ROBBERY","2004 0344 0400",58,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,946,NA,NA,"2500 W  6TH                          ST","","(34.0616, -118.2795)"
"16",160222693,"12/31/2016","12/31/2016",1220,2,"Rampart",279,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0432 0444 0554",19,"F","H",101,"STREET",NA,"","AO","Adult Other",930,NA,NA,NA,"1200 W  11TH                         ST","","(34.0481, -118.2712)"
"17",160222701,"12/31/2016","12/31/2016",1530,2,"Rampart",256,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344",59,"F","H",203,"OTHER BUSINESS",NA,"","IC","Invest Cont",440,NA,NA,NA,"1700 W  6TH                          ST","","(34.0573, -118.2699)"
"18",160301137,"12/31/2016","12/31/2016",1600,3,"Southwest",363,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0325 1402",26,"F","H",404,"DEPARTMENT STORE",NA,"","IC","Invest Cont",442,998,NA,NA,"3700    SANTA ROSALIA                DR","","(34.0072, -118.3373)"
"19",160328297,"12/31/2016","12/31/2016",515,3,"Southwest",363,210,"ROBBERY","0906 0342 0371 0334 1306 0316 1309",26,"M","B",101,"STREET",109,"SEMI-AUTOMATIC PISTOL","IC","Invest Cont",210,NA,NA,NA,"BUCKINGHAM                   RD","SANTO TOMAS                  RD","(34.0099, -118.3446)"
"20",160328305,"12/31/2016","12/31/2016",1410,3,"Southwest",321,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","",16,"","",108,"PARKING LOT",NA,"","IC","Invest Cont",420,NA,NA,NA,"3500 S  LA CIENEGA                   BL","","(34.0242, -118.3722)"
"21",160328306,"12/31/2016","12/31/2016",1530,3,"Southwest",363,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","",16,"","",108,"PARKING LOT",NA,"","IC","Invest Cont",420,NA,NA,NA,"3600 W  MARTIN LUTHER KING JR        BL","","(34.011, -118.3351)"
"22",160328313,"12/31/2016","12/31/2016",1745,3,"Southwest",363,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0325",23,"M","H",402,"MARKET",NA,"","IC","Invest Cont",442,NA,NA,NA,"3900    CRENSHAW                     BL","","(34.0126, -118.3403)"
"23",160328314,"12/31/2016","12/31/2016",300,3,"Southwest",392,902,"VIOLATION OF TEMPORARY RESTRAINING ORDER","2000",40,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",902,NA,NA,NA,"4900    CRENSHAW                     BL","","(33.9985, -118.3308)"
"24",160419386,"12/31/2016","12/31/2016",300,4,"Hollenbeck",489,510,"VEHICLE - STOLEN","",16,"","",108,"PARKING LOT",NA,"","IC","Invest Cont",510,NA,NA,NA,"2700    WYNGLEN                      LN","","(34.0251, -118.2179)"
"25",160419388,"12/31/2016","12/31/2016",700,4,"Hollenbeck",437,510,"VEHICLE - STOLEN","",16,"","",108,"PARKING LOT",NA,"","IC","Invest Cont",510,NA,NA,NA,"2400 N  EASTERN                      AV","","(34.0689, -118.1878)"
"26",160419389,"12/31/2016","12/31/2016",200,4,"Hollenbeck",469,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0906 1309 1100 0430 0302",31,"M","H",108,"PARKING LOT",102,"HAND GUN","IC","Invest Cont",230,NA,NA,NA,"3400 E  1ST                          ST","","(34.0372, -118.195)"
"27",160419391,"12/31/2016","12/31/2016",730,4,"Hollenbeck",443,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329",NA,"M","W",101,"STREET",310,"CONCRETE BLOCK/BRICK","AA","Adult Arrest",740,NA,NA,NA,"1100 N  MISSION                      RD","","(34.0606, -118.2144)"
"28",160419394,"12/31/2016","12/31/2016",10,4,"Hollenbeck",499,624,"BATTERY - SIMPLE ASSAULT","0400 0416 0913",34,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"UNION PACIFIC","PRADO                        ST","(34.0166, -118.1942)"
"29",160520706,"12/31/2016","12/31/2016",200,5,"Harbor",551,510,"VEHICLE - STOLEN","",16,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"1000 W  ELBERON                      AV","","(33.7485, -118.2989)"
"30",160520711,"12/31/2016","12/31/2016",1210,5,"Harbor",526,510,"VEHICLE - STOLEN","",16,"","",104,"DRIVEWAY",NA,"","AA","Adult Arrest",510,NA,NA,NA,"300 W  I                            ST","","(33.7809, -118.2649)"
"31",160520713,"12/31/2016","12/31/2016",845,5,"Harbor",558,624,"BATTERY - SIMPLE ASSAULT","0216 0416 0419 0432",41,"M","B",101,"STREET",113,"SIMULATED GUN","IC","Invest Cont",624,NA,NA,NA,"SANTA CRUZ                   ST","MESA                         ST","(33.7442, -118.2857)"
"32",160520719,"12/31/2016","12/31/2016",1710,5,"Harbor",524,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1300 2004",28,"M","H",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",745,NA,NA,NA,"ANAHEIM","KING","(33.7792, -118.2768)"
"33",160601652,"12/31/2016","12/31/2016",410,6,"Hollywood",632,888,"TRESPASSING","1606 1501",45,"M","W",501,"SINGLE FAMILY DWELLING",NA,"","AO","Adult Other",888,NA,NA,NA,"1500 N  KINGS                        RD","","(34.0981, -118.3742)"
"34",160601645,"01/01/2017","12/31/2016",15,6,"Hollywood",621,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1300 0400 0416 1212 1402",NA,"M","W",101,"STREET",NA,"","IC","Invest Cont",745,998,NA,NA,"EL RITA                      DR","CORNETT                      DR","(34.1197, -118.3758)"
"35",160601647,"12/31/2016","12/31/2016",150,6,"Hollywood",646,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0416 2000 0913 1813",31,"M","H",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"CHEROKEE                     AV","SELMA                        AV","(34.1007, -118.335)"
"36",160601649,"01/01/2017","12/31/2016",1620,6,"Hollywood",643,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0432 0400 1266 0421 1402 0906",38,"M","B",402,"MARKET",511,"VERBAL THREAT","AA","Adult Arrest",930,998,NA,NA,"7500 W  SUNSET                       BL","","(34.1007, -118.3494)"
"37",160601650,"01/01/2017","12/31/2016",345,6,"Hollywood",645,210,"ROBBERY","0400 0416 0344 0429 2004 1218 1402",52,"M","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",210,998,NA,NA,"SELMA                        AV","HIGHLAND                     AV","(34.1006, -118.3417)"
"38",160601656,"12/31/2016","12/31/2016",1310,6,"Hollywood",647,624,"BATTERY - SIMPLE ASSAULT","0416 1300 1240",26,"F","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6000 W  SUNSET                       BL","","(34.0998, -118.3211)"
"39",160601668,"12/31/2016","12/31/2016",1425,6,"Hollywood",666,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0325 1300",16,"X","X",202,"LIQUOR STORE",NA,"","IC","Invest Cont",440,NA,NA,NA,"1400    VINE                         ST","","(34.0962, -118.3266)"
"40",160601669,"12/31/2016","12/31/2016",1310,6,"Hollywood",647,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1300",45,"M","O",101,"STREET",NA,"","IC","Invest Cont",745,NA,NA,NA,"6000 W  SUNSET                       BL","","(34.0998, -118.3211)"
"41",160625925,"12/31/2016","12/31/2016",100,6,"Hollywood",669,330,"BURGLARY FROM VEHICLE","0344 1307 1609 1402",21,"F","H",101,"STREET",NA,"","IC","Invest Cont",330,998,NA,NA,"5400    FLEMISH                      LN","","(34.0913, -118.3073)"
"42",160625966,"01/02/2017","12/31/2016",1530,6,"Hollywood",636,220,"ATTEMPTED ROBBERY","0400 0448 0305",37,"F","O",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",220,NA,NA,NA,"HOLLYWOOD                    BL","HIGHLAND                     AV","(34.1016, -118.3387)"
"43",160625973,"01/02/2017","12/31/2016",1030,6,"Hollywood",659,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 0400 0416",29,"F","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"5400 W  SUNSET                       BL","","(34.0981, -118.3071)"
"44",160701167,"12/31/2016","12/31/2016",500,7,"Wilshire",765,310,"BURGLARY","1606 0344 1402",61,"M","O",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",310,998,NA,NA,"1300 S  SYCAMORE                     AV","","(34.0497, -118.3474)"
"45",160719671,"12/31/2016","12/31/2016",400,7,"Wilshire",777,210,"ROBBERY","0329 2000 1813 0416",25,"F","O",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"WASHINGTON                   BL","CRENSHAW                     BL","(34.0399, -118.3311)"
"46",160719690,"12/31/2016","12/31/2016",1050,7,"Wilshire",722,946,"OTHER MISCELLANEOUS CRIME","1402",NA,"F","X",727,"SHOPPING MALL (COMMON AREA)",NA,"","AA","Adult Arrest",946,998,NA,NA,"100 N  LA CIENEGA                   BL","","(34.0746, -118.3765)"
"47",160719691,"12/31/2016","12/31/2016",1416,7,"Wilshire",726,310,"BURGLARY","1402",NA,"M","X",702,"OFFICE BUILDING/OFFICE",NA,"","IC","Invest Cont",310,998,NA,NA,"100 S  LA BREA                      AV","","(34.0726, -118.3463)"
"48",160719694,"12/31/2016","12/31/2016",1310,7,"Wilshire",755,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329",55,"F","B",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",740,NA,NA,NA,"1300 S  COCHRAN                      AV","","(34.0509, -118.3516)"
"49",160719696,"12/31/2016","12/31/2016",1350,7,"Wilshire",702,310,"BURGLARY","1606",73,"M","W",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",310,NA,NA,NA,"700 N  FULLER                       AV","","(34.0836, -118.3498)"
"50",160719699,"12/31/2016","12/31/2016",3,7,"Wilshire",715,510,"VEHICLE - STOLEN","",16,"","",104,"DRIVEWAY",NA,"","IC","Invest Cont",510,NA,NA,NA,"400 N  DETROIT                      ST","","(34.0783, -118.3451)"
"51",160901525,"12/31/2016","12/31/2016",1200,9,"Van Nuys",909,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0906 0416 0431",55,"M","B",403,"DRUG STORE",312,"PIPE/METAL PIPE","AO","Adult Other",230,NA,NA,NA,"13500    SHERMAN                      WY","","(34.205, -118.4339)"
"52",160922550,"12/31/2016","12/31/2016",815,9,"Van Nuys",911,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT","1813 1414 0444 2000 0416",49,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",302,"BLUNT INSTRUMENT","AA","Adult Arrest",236,998,NA,NA,"15300    VANOWEN                      ST","","(34.1939, -118.4662)"
"53",160922557,"12/31/2016","12/31/2016",1030,9,"Van Nuys",971,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","",16,"","",108,"PARKING LOT",NA,"","IC","Invest Cont",420,NA,NA,NA,"15300    VENTURA                      BL","","(34.1564, -118.463)"
"54",160922558,"12/31/2016","12/31/2016",1215,9,"Van Nuys",914,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1310 0913 1414 0411 1501",59,"M","B",108,"PARKING LOT",200,"KNIFE WITH BLADE 6INCHES OR LESS","AO","Adult Other",230,NA,NA,NA,"7100    VAN NUYS                     BL","","(34.1976, -118.4574)"
"55",160922565,"12/31/2016","12/31/2016",1745,9,"Van Nuys",964,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0325 1501",NA,"X","X",404,"DEPARTMENT STORE",NA,"","AA","Adult Arrest",442,998,NA,NA,"14000    RIVERSIDE                    DR","","(34.1576, -118.438)"
"56",160922571,"12/31/2016","12/31/2016",1100,9,"Van Nuys",941,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)","2004 0344",NA,"X","X",404,"DEPARTMENT STORE",NA,"","AA","Adult Arrest",442,NA,NA,NA,"5700    SEPULVEDA                    BL","","(34.174, -118.4662)"
"57",160922578,"12/31/2016","12/31/2016",1825,9,"Van Nuys",989,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1241 0444",40,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"4300    MAMMOTH                      AV","","(34.1483, -118.4326)"
"58",161020401,"12/31/2016","12/31/2016",1215,10,"West Valley",1007,753,"DISCHARGE FIREARMS/SHOTS FIRED","1420 0309 1100 1407 1309 0342",55,"M","W",101,"STREET",102,"HAND GUN","IC","Invest Cont",753,998,NA,NA,"PASO ROBLES","STAGG","(34.2121, -118.5024)"
"59",161020402,"12/31/2016","12/31/2016",300,10,"West Valley",1041,812,"CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060","0551 0913 1258 1251",12,"F","A",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",812,998,NA,NA,"19200    LIAM                         LN","","(34.1798, -118.5535)"
"60",161020407,"12/31/2016","12/31/2016",2030,10,"West Valley",1011,624,"BATTERY - SIMPLE ASSAULT","0202 1822 1414 0446 0416",46,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"SHERMAN                      WY","CORBIN                       AV","(34.201, -118.5623)"
"61",161101044,"01/01/2017","12/31/2016",1210,11,"Northeast",1162,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","2000 1402 0907 0421 0448 1243 1814",22,"F","W",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",930,998,NA,NA,"4500    FOUNTAIN                     AV","","(34.0957, -118.2867)"
"62",161101045,"01/01/2017","12/31/2016",1100,11,"Northeast",1162,888,"TRESPASSING","2000 1814 1501",NA,"M","O",210,"RESTAURANT/FAST FOOD",NA,"","IC","Invest Cont",888,NA,NA,NA,"4300 W  SUNSET                       BL","","(34.0947, -118.2828)"
"63",161101046,"01/01/2017","12/31/2016",1800,11,"Northeast",1162,888,"TRESPASSING","2004 1501 1814 2000",43,"F","W",210,"RESTAURANT/FAST FOOD",NA,"","IC","Invest Cont",888,NA,NA,NA,"4300 W  SUNSET                       BL","","(34.0947, -118.2828)"
"64",161121307,"12/31/2016","12/31/2016",630,11,"Northeast",1101,330,"BURGLARY FROM VEHICLE","0344 1609",36,"F","H",108,"PARKING LOT",NA,"","IC","Invest Cont",330,NA,NA,NA,"4700    CRYSTAL SPRINGS              DR","","(34.1516, -118.2859)"
"65",161121319,"12/31/2016","12/31/2016",700,11,"Northeast",1147,510,"VEHICLE - STOLEN","",16,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"CYPRESS                      AV","FUTURE                       ST","(34.099, -118.2331)"
"66",161121329,"12/31/2016","12/31/2016",500,11,"Northeast",1125,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 0400",34,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"1400 N  AVENUE 47","","(34.1203, -118.2143)"
"67",161201032,"12/31/2016","12/31/2016",900,12,"77th Street",1218,122,"RAPE, ATTEMPTED","1300 0402 0408 1022",23,"F","B",103,"ALLEY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",122,NA,NA,NA,"VERMONT                      AV","56TH                         ST","(33.9914, -118.2915)"
"68",161230886,"12/31/2016","12/31/2016",1,12,"77th Street",1265,510,"VEHICLE - STOLEN","",16,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"8000 S  NEW HAMPSHIRE                AV","","(33.9665, -118.2929)"
"69",161230893,"12/31/2016","12/31/2016",1630,12,"77th Street",1269,510,"VEHICLE - STOLEN","",16,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"400 E  82ND                         ST","","(33.9647, -118.2673)"
"70",161230894,"12/31/2016","12/31/2016",1110,12,"77th Street",1239,626,"INTIMATE PARTNER - SIMPLE ASSAULT","1813 2000 0416 0401 0444",25,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"900 W  62ND                         ST","","(33.9863, -118.2881)"
"71",161230896,"12/31/2016","12/31/2016",1815,12,"77th Street",1233,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0443 1402",38,"M","H",108,"PARKING LOT",205,"KITCHEN KNIFE","IC","Invest Cont",230,998,NA,NA,"1800 W  SLAUSON                      AV","","(33.9892, -118.3089)"
"72",161230899,"12/31/2016","12/31/2016",730,12,"77th Street",1243,210,"ROBBERY","0342 0416 0344",50,"M","B",203,"OTHER BUSINESS",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"69TH","WESTERN","(33.977, -118.309)"
"73",161325608,"12/31/2016","12/31/2016",1315,13,"Newton",1344,510,"VEHICLE - STOLEN","",16,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"4100    WADSWORTH                    AV","","(34.0078, -118.2636)"
"74",161325610,"12/31/2016","12/31/2016",930,13,"Newton",1343,210,"ROBBERY","0344 0416 0334 0336",41,"F","H",101,"STREET",203,"DIRK/DAGGER","IC","Invest Cont",210,NA,NA,NA,"MARTIN LUTHER KING JR        BL","MCKINLEY","(34.011, -118.2608)"
"75",161325612,"12/31/2016","12/31/2016",530,13,"Newton",1317,210,"ROBBERY","1309 0326 0344 0430 1100 0334 0302 0432 0337",29,"M","B",101,"STREET",109,"SEMI-AUTOMATIC PISTOL","IC","Invest Cont",210,230,NA,NA,"18TH                         ST","HOOPER","(34.0227, -118.2454)"
"76",161325613,"12/31/2016","12/31/2016",350,13,"Newton",1313,761,"BRANDISH WEAPON","1822 0601 1309 0202 0302 0334 0421",32,"M","H",203,"OTHER BUSINESS",109,"SEMI-AUTOMATIC PISTOL","IC","Invest Cont",761,930,NA,NA,"600 E  WASHINGTON                   BL","","(34.0286, -118.2592)"
"77",161325614,"12/31/2016","12/31/2016",1200,13,"Newton",1393,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344",59,"F","B",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",440,NA,NA,NA,"100 W  66TH                         ST","","(33.9797, -118.2739)"
"78",161325615,"12/31/2016","12/31/2016",1300,13,"Newton",1333,510,"VEHICLE - STOLEN","",16,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"900 E  33RD                         ST","","(34.0147, -118.2608)"
"79",161325621,"12/31/2016","12/31/2016",1210,13,"Newton",1373,761,"BRANDISH WEAPON","0919 1822 1309 0334",59,"M","H",101,"STREET",109,"SEMI-AUTOMATIC PISTOL","IC","Invest Cont",761,NA,NA,NA,"CENTRAL                      AV","SLAUSON","(33.9893, -118.2564)"
"80",161325622,"12/31/2016","12/31/2016",645,13,"Newton",1352,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344",28,"M","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",440,NA,NA,NA,"400 E  46TH                         ST","","(34.0016, -118.2696)"
"81",161430506,"12/31/2016","12/31/2016",1510,14,"Pacific",1495,510,"VEHICLE - STOLEN","",16,"","",108,"PARKING LOT",NA,"","IC","Invest Cont",510,NA,NA,NA,"9000    AIRPORT                      BL","","(33.9523, -118.3906)"
"82",161430511,"12/31/2016","12/31/2016",1235,14,"Pacific",1406,903,"CONTEMPT OF COURT","",25,"M","B",203,"OTHER BUSINESS",NA,"","IC","Invest Cont",903,NA,NA,NA,"3500    OVERLAND                     AV","","(34.0249, -118.4118)"
"83",161430507,"12/31/2016","12/31/2016",1550,14,"Pacific",1496,510,"VEHICLE - STOLEN","",16,"","",108,"PARKING LOT",NA,"","IC","Invest Cont",510,NA,NA,NA,"9700    AIRPORT                      BL","","(33.9472, -118.3909)"
"84",161430510,"12/31/2016","12/31/2016",1434,14,"Pacific",1469,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1300",49,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",745,NA,NA,NA,"7100    RAMSGATE                     AV","","(33.9731, -118.3731)"
"85",161430512,"12/31/2016","12/31/2016",540,14,"Pacific",1444,624,"BATTERY - SIMPLE ASSAULT","0400",44,"M","H",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"4000    LINCOLN                      BL","","(33.9905, -118.4478)"
"86",161430514,"12/31/2016","12/31/2016",1630,14,"Pacific",1412,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT","0400 1601 2000",28,"M","W",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",236,NA,NA,NA,"00    CLUB HOUSE                   AV","","(33.9892, -118.4751)"
"87",161430528,"12/31/2016","12/31/2016",140,14,"Pacific",1409,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000",41,"F","W",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",626,NA,NA,NA,"3600    WATSEKA                      AV","","(34.0288, -118.3996)"
